일자,요일,총계,내국인,외국인
20150101,목,33428,28176,5252
20150102,금,29649,25991,3658
20150103,토,28545,22324,6221
20150104,일,27844,24473,3371
20150105,월,31521,28483,3038
20150106,화,27113,24221,2892
20150107,수,25968,22808,3160
20150108,목,30111,26463,3648
20150109,금,31314,28083,3231
20150110,토,31209,27791,3418
20150111,일,29943,25306,4637
20150112,월,31203,28462,2741
20150113,화,27503,24027,3476
20150114,수,24923,21698,3225
20150115,목,31490,26979,4511
20150116,금,32284,28841,3443
20150117,토,34829,30937,3892
20150118,일,31034,26946,4088
20150119,월,30811,27301,3510
20150120,화,27162,23036,4126
20150121,수,26267,20699,5568
20150122,목,31422,27389,4033
20150123,금,33943,28876,5067
20150124,토,34437,30345,4092
20150125,일,31560,24788,6772
20150126,월,31335,26935,4400
20150127,화,27612,22900,4712
20150128,수,28028,20569,7459
20150129,목,30798,22612,8186
20150130,금,31230,25804,5426
20150131,토,31515,25482,6033
20150201,일,29590,22094,7496
20150202,월,29804,20471,9333
20150203,화,27093,19502,7591
20150204,수,25243,18265,6978
20150205,목,30375,22689,7686
20150206,금,31780,25895,5885
20150207,토,33607,26010,7597
20150208,일,29309,21327,7982
20150209,월,32619,21847,10772
20150210,화,26813,20265,6548
20150211,수,26749,18801,7948
20150212,목,29967,24053,5914
20150213,금,33498,25703,7795
20150214,토,35685,27794,7891
20150215,일,32624,26276,6348
20150216,월,32844,27614,5230
20150217,화,40378,32831,7547
20150218,수,43160,37533,5627
20150219,목,37666,30824,6842
20150220,금,40314,30929,9385
20150221,토,33119,24375,8744
20150222,일,40750,30569,10181
20150223,월,35985,25918,10067
20150224,화,35819,28974,6845
20150225,수,39241,27464,11777
20150226,목,37310,29188,8122
20150227,금,37912,29946,7966
20150228,토,30790,22613,8177
20150301,일,27622,19317,8305
20150302,월,25802,19588,6214
20150303,화,22000,17302,4698
20150304,수,23129,15982,7147
20150305,목,26605,22638,3967
20150306,금,32499,27662,4837
20150307,토,30727,24753,5974
20150308,일,26426,21731,4695
20150309,월,27426,21350,6076
20150310,화,23087,18203,4884
20150311,수,24217,19513,4704
20150312,목,31275,26522,4753
20150313,금,35611,30948,4663
20150314,토,38351,30467,7884
20150315,일,31143,24696,6447
20150316,월,34079,25656,8423
20150317,화,27781,23590,4191
20150318,수,28803,21084,7719
20150319,목,36184,28947,7237
20150320,금,42341,34424,7917
20150321,토,38673,32943,5730
20150322,일,38348,29417,8931
20150323,월,36397,28281,8116
20150324,화,34174,26548,7626
20150325,수,33607,23241,10366
20150326,목,38113,31027,7086
20150327,금,40361,35998,4363
20150328,토,42852,34054,8798
20150329,일,36066,28704,7362
20150330,월,34757,25120,9637
20150331,화,33105,24170,8935
20150401,수,37801,28341,9460
20150402,목,23960,21186,2774
20150403,금,45631,38472,7159
20150404,토,38073,31710,6363
20150405,일,41015,27568,13447
20150406,월,39283,32268,7015
20150407,화,35548,30206,5342
20150408,수,38568,27287,11281
20150409,목,44034,34100,9934
20150410,금,42745,35863,6882
20150411,토,42351,35092,7259
20150412,일,42898,28346,14552
20150413,월,42347,30775,11572
20150414,화,36709,28460,8249
20150415,수,38435,26353,12082
20150416,목,42749,31590,11159
20150417,금,49719,35881,13838
20150418,토,44731,31198,13533
20150419,일,40906,28100,12806
20150420,월,40976,29793,11183
20150421,화,40688,28233,12455
20150422,수,39632,27583,12049
20150423,목,44833,35159,9674
20150424,금,46215,35549,10666
20150425,토,48105,33221,14884
20150426,일,46767,30884,15883
20150427,월,45208,32660,12548
20150428,화,39954,28338,11616
20150429,수,44562,28980,15582
20150430,목,44738,36238,8500
20150501,금,53215,40776,12439
20150502,토,49178,42679,6499
20150503,일,45659,34939,10720
20150504,월,36560,26204,10356
20150505,화,34003,24082,9921
20150506,수,42308,32976,9332
20150507,목,34899,26269,8630
20150508,금,38400,29926,8474
20150509,토,38461,30654,7807
20150510,일,41080,28629,12451
20150511,월,32058,24379,7679
20150512,화,45421,35205,10216
20150513,수,38263,29107,9156
20150514,목,41428,30209,11219
20150515,금,44729,35391,9338
20150516,토,44447,34218,10229
20150517,일,39296,30340,8956
20150518,월,46455,33374,13081
20150519,화,39581,31457,8124
20150520,수,41520,30206,11314
20150521,목,41135,32237,8898
20150522,금,49720,39443,10277
20150523,토,50210,40872,9338
20150524,일,37972,26358,11614
20150525,월,35872,25166,10706
20150526,화,45256,32222,13034
20150527,수,48380,30351,18029
